movie_id,movie_title,year,original_language,genres,overview,keywords,cast,director,poster_path,vote_average,vote_count,popularity,soup
579974,RRR,2022,te,"Action, Adventure, Drama",A fictional history of two legendary revolutionaries' journey away from home before they began fighting for their country in the 1920s.,"rescue, revolution, liberation, slavery, male friendship, freedom fighter, british empire, interracial romance, historical fiction, period drama, historical, 1920s, history of india, killed in action, war","N.T. Rama Rao Jr., Ram Charan, Olivia Morris, Ray Stevenson, Alison Doody, Ajay Devgn, Alia Bhatt, Samuthirakani",S. S. Rajamouli,/u0XUBNQWlOvrh0Gd97ARGpIkL0.jpg,7.7,1582,8.2144,a fictional history of two legendary revolutionaries journey away from home before they began fighting for their country in the 1920s a fictional history of two legendary revolutionaries journey away from home before they began fighting for their country in the 1920s a fictional history of two legendary revolutionaries journey away from home before they began fighting for their country in the 1920s action adventure drama action adventure drama rescue revolution liberation slavery male friendship freedom fighter british empire interracial romance historical fiction period drama historical 1920s history of india killed in action war rescue revolution liberation slavery male friendship freedom fighter british empire interracial romance historical fiction period drama historical 1920s history of india killed in action war n t rama rao jr ram charan olivia morris ray stevenson alison doody ajay devgn alia bhatt samuthirakani s s rajamouli te te
256040,Bāhubali: The Beginning,2015,te,"Action, Drama","The young Shivudu is left as a foundling in a small village by his mother. By the time he’s grown up, it has become apparent that he possesses exceptional gifts. He meets the beautiful warrior princess Avanthika and learns that her queen has been held captive for the last 25 years. Shividu sets off to rescue her, discovering his own origins in the process.","kingdom, medieval india, ancient india, bilingual","Prabhas, Rana Daggubati, Tamannaah Bhatia, Anushka Shetty, Ramya Krishnan, Nassar, Sathyaraj, Prabhakar",S. S. Rajamouli,/9BAjt8nSSms62uOVYn1t3C3dVto.jpg,7.528,920,4.1711,the young shivudu is left as a foundling in a small village by his mother by the time he s grown up it has become apparent that he possesses exceptional gifts he meets the beautiful warrior princess avanthika and learns that her queen has been held captive for the last 25 years shividu sets off to rescue her discovering his own origins in the process the young shivudu is left as a foundling in a small village by his mother by the time he s grown up it has become apparent that he possesses exceptional gifts he meets the beautiful warrior princess avanthika and learns that her queen has been held captive for the last 25 years shividu sets off to rescue her discovering his own origins in the process the young shivudu is left as a foundling in a small village by his mother by the time he s grown up it has become apparent that he possesses exceptional gifts he meets the beautiful warrior princess avanthika and learns that her queen has been held captive for the last 25 years shividu sets off to rescue her discovering his own origins in the process action drama action drama kingdom medieval india ancient india bilingual kingdom medieval india ancient india bilingual prabhas rana daggubati tamannaah bhatia anushka shetty ramya krishnan nassar sathyaraj prabhakar s s rajamouli te te
811941,Devara: Part 1,2024,te,"Action, Drama","Devara, a fearless man from a coastal region, embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people. Unbeknownst to him, his brother Bhaira is plotting a conspiracy against him. As events unfold, Devara passes on his legacy to his mild-mannered and timid son, Varada.","sea, ship, red sea, boat, fear, battle, unassuming, swords, ships, violence, boats","N.T. Rama Rao Jr., Saif Ali Khan, Prakash Raj, Srikanth, Kalaiyarasan, Shruti Marathe, Janhvi Kapoor, Shine Tom Chacko",Koratala Siva,/lQfuaXjANoTsdx5iS0gCXlK9D2L.jpg,6.907,215,4.0086,devara a fearless man from a coastal region embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people unbeknownst to him his brother bhaira is plotting a conspiracy against him as events unfold devara passes on his legacy to his mild mannered and timid son varada devara a fearless man from a coastal region embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people unbeknownst to him his brother bhaira is plotting a conspiracy against him as events unfold devara passes on his legacy to his mild mannered and timid son varada devara a fearless man from a coastal region embarks on a perilous journey into the treacherous world of the sea to safeguard the lives of his people unbeknownst to him his brother bhaira is plotting a conspiracy against him as events unfold devara passes on his legacy to his mild mannered and timid son varada action drama action drama sea ship red sea boat fear battle unassuming swords ships violence boats sea ship red sea boat fear battle unassuming swords ships violence boats n t rama rao jr saif ali khan prakash raj srikanth kalaiyarasan shruti marathe janhvi kapoor shine tom chacko koratala siva te te
801688,Kalki 2898-AD,2024,te,"Drama, Action, Fantasy, Science Fiction","In the year 2898 AD, around 6000 years after Kurukshetra war, Ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and Bhairava, a wisecracking and self-interested bounty hunter, tired of the perilous life becomes the hurdle in the process.","rebellion, hero, temple, dystopia, villain, desert, religious statue, futuristic society, quest, imperialism, ancient temple, indian folklore, evil empire, fantasy, indian gods","Amitabh Bachchan, Prabhas, Deepika Padukone, Kamal Haasan, Saswata Chatterjee, Shobana, Rajendra Prasad, Pasupathy",Nag Ashwin,/rstcAnBeCkxNQjNp3YXrF6IP1tW.jpg,6.422,172,3.624,in the year 2898 ad around 6000 years after kurukshetra war ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and bhairava a wisecracking and self interested bounty hunter tired of the perilous life becomes the hurdle in the process in the year 2898 ad around 6000 years after kurukshetra war ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and bhairava a wisecracking and self interested bounty hunter tired of the perilous life becomes the hurdle in the process in the year 2898 ad around 6000 years after kurukshetra war ashwatthama gears up for his final battle of redemption at the sign of hope in a dystopian world and bhairava a wisecracking and self interested bounty hunter tired of the perilous life becomes the hurdle in the process drama action fantasy science fiction drama action fantasy science fiction rebellion hero temple dystopia villain desert religious statue futuristic society quest imperialism ancient temple indian folklore evil empire fantasy indian gods rebellion hero temple dystopia villain desert religious statue futuristic society quest imperialism ancient temple indian folklore evil empire fantasy indian gods amitabh bachchan prabhas deepika padukone kamal haasan saswata chatterjee shobana rajendra prasad pasupathy nag ashwin te te
770906,Salaar: Part 1 - Ceasefire,2023,te,"Action, Crime, Drama","Set in the fictional dystopian city-state of Khansaar, the film follows the friendship between Deva, a tribesman, and Varadha, the prince of Khansaar. When a coup d'état is planned by his father's ministers and his relatives, Varadha enlists Deva's help to become Khansaar's undisputed ruler.","drama, action, salaar","Prabhas, Prithviraj Sukumaran, Shruti Haasan, Easwari Rao, Jagapati Babu, Bobby Simha, Sriya Reddy, Ramachandra Raju",Prashanth Neel,/nlu9WbcetNFRGXXPWITr30ob7W6.jpg,6.674,112,3.4266,set in the fictional dystopian city state of khansaar the film follows the friendship between deva a tribesman and varadha the prince of khansaar when a coup d tat is planned by his father s ministers and his relatives varadha enlists deva s help to become khansaar s undisputed ruler set in the fictional dystopian city state of khansaar the film follows the friendship between deva a tribesman and varadha the prince of khansaar when a coup d tat is planned by his father s ministers and his relatives varadha enlists deva s help to become khansaar s undisputed ruler set in the fictional dystopian city state of khansaar the film follows the friendship between deva a tribesman and varadha the prince of khansaar when a coup d tat is planned by his father s ministers and his relatives varadha enlists deva s help to become khansaar s undisputed ruler action crime drama action crime drama drama action salaar drama action salaar prabhas prithviraj sukumaran shruti haasan easwari rao jagapati babu bobby simha sriya reddy ramachandra raju prashanth neel te te
350312,Bāhubali 2: The Conclusion,2017,te,"Action, Adventure, Fantasy","When Mahendra, the son of Bāhubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.","kingdom, bilingual","Prabhas, Rana Daggubati, Anushka Shetty, Sathyaraj, Nassar, Ramya Krishnan, Subbaraju, Tamannaah Bhatia",S. S. Rajamouli,/21sC2assImQIYCEDA84Qh9d1RsK.jpg,7.456,845,3.0443,when mahendra the son of b hubali learns about his heritage he begins to look for answers his story is juxtaposed with past events that unfolded in the mahishmati kingdom when mahendra the son of b hubali learns about his heritage he begins to look for answers his story is juxtaposed with past events that unfolded in the mahishmati kingdom when mahendra the son of b hubali learns about his heritage he begins to look for answers his story is juxtaposed with past events that unfolded in the mahishmati kingdom action adventure fantasy action adventure fantasy kingdom bilingual kingdom bilingual prabhas rana daggubati anushka shetty sathyaraj nassar ramya krishnan subbaraju tamannaah bhatia s s rajamouli te te
1068452,Hi Nanna,2023,te,"Drama, Family, Romance","Six-year-old Mahi, a spirited child with cystic fibrosis, shares a deep yet complex bond with her father, Viraj, a dedicated single parent and successful fashion photographer. Her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog, Pluto. A chance encounter with a kind woman named Yashna sparks unexpected revelations, intertwining their lives in ways they never anticipated. Set against a backdrop of love, sacrifice, and redemption, Mahi’s story is a heartfelt exploration of family, resilience, and the enduring power of connection.",,"Nani, Mrunal Thakur, Baby Kiara Khanna, Jayaram, Shilpa Tulaskar, Priyadarshi Pullikonda, Angad Bedi, Viraj Ashwin",Shouryuv,/hhMLtq9m1aK0dpY9Wcq26XeDH2z.jpg,7.8,63,2.4668,six year old mahi a spirited child with cystic fibrosis shares a deep yet complex bond with her father viraj a dedicated single parent and successful fashion photographer her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog pluto a chance encounter with a kind woman named yashna sparks unexpected revelations intertwining their lives in ways they never anticipated set against a backdrop of love sacrifice and redemption mahi s story is a heartfelt exploration of family resilience and the enduring power of connection six year old mahi a spirited child with cystic fibrosis shares a deep yet complex bond with her father viraj a dedicated single parent and successful fashion photographer her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog pluto a chance encounter with a kind woman named yashna sparks unexpected revelations intertwining their lives in ways they never anticipated set against a backdrop of love sacrifice and redemption mahi s story is a heartfelt exploration of family resilience and the enduring power of connection six year old mahi a spirited child with cystic fibrosis shares a deep yet complex bond with her father viraj a dedicated single parent and successful fashion photographer her curiosity about her absent mother leads to a journey of discovery when she runs away with her loyal dog pluto a chance encounter with a kind woman named yashna sparks unexpected revelations intertwining their lives in ways they never anticipated set against a backdrop of love sacrifice and redemption mahi s story is a heartfelt exploration of family resilience and the enduring power of connection drama family romance drama family romance   nani mrunal thakur baby kiara khanna jayaram shilpa tulaskar priyadarshi pullikonda angad bedi viraj ashwin shouryuv te te
857598,Pushpa 2 - The Rule,2024,te,"Action, Drama, Thriller, Crime","As his smuggling empire grows, a brazen Pushpa longs for power and respect on his vengeful journey, while facing old rivals and new.","sequel, ego clash","Allu Arjun, Rashmika Mandanna, Fahadh Faasil, Jagadeesh Bandari, Rao Ramesh, Sunil Varma, Anasuya Bharadwaj, Ajay",Sukumar,/bhxZj3y59cK7JtGdV285dhDRaMe.jpg,6.296,137,2.4659,as his smuggling empire grows a brazen pushpa longs for power and respect on his vengeful journey while facing old rivals and new as his smuggling empire grows a brazen pushpa longs for power and respect on his vengeful journey while facing old rivals and new as his smuggling empire grows a brazen pushpa longs for power and respect on his vengeful journey while facing old rivals and new action drama thriller crime action drama thriller crime sequel ego clash sequel ego clash allu arjun rashmika mandanna fahadh faasil jagadeesh bandari rao ramesh sunil varma anasuya bharadwaj ajay sukumar te te
454292,Saaho,2019,te,"Action, Adventure, Thriller","A battle for power ensues as warring gangters thrive to gain possession of a ""black box"" that can make them richer than they already are, and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill.","truck, gunfight, motorcycle chase, action hero, sujeeth cinematic universe","Prabhas, Shraddha Kapoor, Neil Nitin Mukesh, Chunky Panday, Mandira Bedi, Arun Vijay, Murali Sharma, Jackie Shroff",Sujeeth,/abjWQwUakmBUecf73jiZDx5iex0.jpg,5.743,111,2.4472,a battle for power ensues as warring gangters thrive to gain possession of a black box that can make them richer than they already are and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill a battle for power ensues as warring gangters thrive to gain possession of a black box that can make them richer than they already are and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill a battle for power ensues as warring gangters thrive to gain possession of a black box that can make them richer than they already are and an undercover cop intervenes with the help of his sharp intellect and an instinct to kill action adventure thriller action adventure thriller truck gunfight motorcycle chase action hero sujeeth cinematic universe truck gunfight motorcycle chase action hero sujeeth cinematic universe prabhas shraddha kapoor neil nitin mukesh chunky panday mandira bedi arun vijay murali sharma jackie shroff sujeeth te te
690957,Pushpa: The Rise,2021,te,"Action, Drama, Thriller","As Pushpa, a labourer, rises in the world of red sandalwood smuggling, he ends up making many enemies. However, violence ensues when the police try to topple his illegal business.","rags to riches, smugglers, sandalwood, egotistical, authoritarian","Allu Arjun, Rashmika Mandanna, Jagadeesh Bandari, Sunil Varma, Anasuya Bharadwaj, Dhananjay, Ajay Ghosh, Fahadh Faasil",Sukumar,/oaRk2HgOirEeNuDCwwScmq7rKvS.jpg,6.75,182,2.409,as pushpa a labourer rises in the world of red sandalwood smuggling he ends up making many enemies however violence ensues when the police try to topple his illegal business as pushpa a labourer rises in the world of red sandalwood smuggling he ends up making many enemies however violence ensues when the police try to topple his illegal business as pushpa a labourer rises in the world of red sandalwood smuggling he ends up making many enemies however violence ensues when the police try to topple his illegal business action drama thriller action drama thriller rags to riches smugglers sandalwood egotistical authoritarian rags to riches smugglers sandalwood egotistical authoritarian allu arjun rashmika mandanna jagadeesh bandari sunil varma anasuya bharadwaj dhananjay ajay ghosh fahadh faasil sukumar te te
